DOI	title	link_url	journal
https://doi.org/10.1103/PhysRevA.95.043614	Bose-Einstein condensation of erbium atoms in a quasielectrostatic optical dipole trap	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.043614	pra
https://doi.org/10.1103/PhysRevA.95.041801	Demonstration of the Jaynes-Cummings ladder with Rydberg-dressed atoms	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.041801	pra
https://doi.org/10.1103/PhysRevA.95.043405	Hyperfine-mediated electric quadrupole shifts in <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mrow><mi>Al</mi></mrow><mo>+</mo></msup></math></span> and <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mrow><mi>In</mi></mrow><mo>+</mo></msup></math></span> ion clocks	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.043405	pra
https://doi.org/10.1103/PhysRevA.95.033635	Omnidirectional spin Hall effect in a Weyl spin-orbit-coupled atomic gas	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.033635	pra
https://doi.org/10.1103/PhysRevA.95.032707	Efimov–van der Waals universality for ultracold atoms with positive scattering lengths	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.032707	pra
https://doi.org/10.1103/PhysRevA.95.032330	Optimal witnessing of the quantum Fisher information with few measurements	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.032330	pra
https://doi.org/10.1103/PhysRevA.95.032327	Equivalence between spin Hamiltonians and boson sampling	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.032327	pra
https://doi.org/10.1103/PhysRevA.95.032323	Quantum speedup of the traveling-salesman problem for bounded-degree graphs	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.032323	pra
https://doi.org/10.1103/PhysRevA.95.033423	Steady-state spin synchronization through the collective motion of trapped ions	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.033423	pra
https://doi.org/10.1103/PhysRevA.95.033827	Programmable holographic technique for implementing unitary and nonunitary transformations	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.033827	pra
https://doi.org/10.1103/PhysRevA.95.032503	Internal conversion from excited electronic states of <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mmultiscripts><mi>Th</mi><mprescripts></mprescripts><none></none><mn>229</mn></mmultiscripts></math></span> ions	https://journals.aps.org/pra/abstract/10.1103/PhysRevA.95.032503	pra
